date,mkt_excess,smb,hml,rf,mkt
1926-07-01,0.001,-0.0025,-0.0027,8.999999999999999e-05,0.00109
1926-07-02,0.0045000000000000005,-0.0033,-0.0006,8.999999999999999e-05,0.00459
1926-07-06,0.0017000000000000001,0.003,-0.0039000000000000003,8.999999999999999e-05,0.0017900000000000001
1926-07-07,0.0009,-0.0058,0.0002,8.999999999999999e-05,0.00099
1926-07-08,0.0021,-0.0038,0.0019,8.999999999999999e-05,0.0021899999999999997
1926-07-09,-0.0070999999999999995,0.0043,0.005699999999999999,8.999999999999999e-05,-0.00701
1926-07-10,0.0062,-0.0053,-0.001,8.999999999999999e-05,0.00629
1926-07-12,0.0004,-0.0003,0.0064,8.999999999999999e-05,0.00049
1926-07-13,0.0048,-0.0028000000000000004,-0.002,8.999999999999999e-05,0.004889999999999999
1926-07-14,0.0004,0.0007000000000000001,-0.0043,8.999999999999999e-05,0.00049
1926-07-15,-0.0043,0.0049,-0.0022,8.999999999999999e-05,-0.00421
1926-07-16,0.0053,-0.0007000000000000001,-0.0044,8.999999999999999e-05,0.00539
1926-07-17,0.0034000000000000002,0.0043,-0.0062,8.999999999999999e-05,0.00349
1926-07-19,-0.0001,-0.0004,-0.0042,8.999999999999999e-05,-1.0000000000000013e-05
1926-07-20,-0.005699999999999999,-0.0025,0.0019,8.999999999999999e-05,-0.0056099999999999995
1926-07-21,-0.006,0.0018,0.0036,8.999999999999999e-05,-0.00591
1926-07-22,-0.0073,-0.0027,-0.0023,8.999999999999999e-05,-0.00721
1926-07-23,-0.0002,0.0009,0.0004,8.999999999999999e-05,-0.00011000000000000002
1926-07-24,-0.0014000000000000002,0.0044,-0.0005,8.999999999999999e-05,-0.0013100000000000002
1926-07-26,0.0053,-0.0039000000000000003,-0.0022,8.999999999999999e-05,0.00539
1926-07-27,0.0043,-0.0040999999999999995,0.002,8.999999999999999e-05,0.00439
1926-07-28,0.0109,0.0002,-0.0025,8.999999999999999e-05,0.01099
1926-07-29,0.0036,-0.006,-0.0104,8.999999999999999e-05,0.0036899999999999997
1926-07-30,0.0014000000000000002,-0.0046,0.0053,8.999999999999999e-05,0.0014900000000000002
1926-07-31,0.0046,-0.0012,-0.0017000000000000001,8.999999999999999e-05,0.00469
1926-08-02,0.0084,-0.0026,0.0003,0.0001,0.008499999999999999
1926-08-03,0.004699999999999999,-0.0025,-0.0063,0.0001,0.0048
1926-08-04,-0.0036,0.0011,0.0033,0.0001,-0.0035
1926-08-05,-0.0009,0.0001,0.0072,0.0001,-0.0007999999999999999
1926-08-06,0.0068000000000000005,0.0007000000000000001,0.0017000000000000001,0.0001,0.006900000000000001
1926-08-07,0.0046,0.0015,-0.0034999999999999996,0.0001,0.0047
1926-08-09,0.0021,-0.0007000000000000001,-0.0022,0.0001,0.0021999999999999997
1926-08-10,-0.013999999999999999,0.0034000000000000002,0.0021,0.0001,-0.0139
1926-08-11,-0.005699999999999999,0.0021,0.0034000000000000002,0.0001,-0.005599999999999999
1926-08-12,0.0084,-0.0076,0.004,0.0001,0.008499999999999999
1926-08-13,0.0058,-0.0085,0.0026,0.0001,0.0059
1926-08-14,0.0069,0.002,-0.0044,0.0001,0.007
1926-08-16,0.0007000000000000001,0.0025,0.0067,0.0001,0.0008000000000000001
1926-08-17,-0.0095,0.0033,0.0017000000000000001,0.0001,-0.0094
1926-08-18,0.0026,0.0011,0.0,0.0001,0.0026999999999999997
1926-08-19,-0.006,0.0014000000000000002,0.0007000000000000001,0.0001,-0.0059
1926-08-20,-0.002,-0.0034999999999999996,0.0040999999999999995,0.0001,-0.0019
1926-08-21,0.0032,-0.0008,0.0054,0.0001,0.0033
1926-08-23,0.0049,-0.0039000000000000003,0.0048,0.0001,0.005
1926-08-24,-0.0084,0.0048,-0.0007000000000000001,0.0001,-0.0083
1926-08-25,-0.0032,-0.004,0.0023,0.0001,-0.0031000000000000003
1926-08-26,0.0053,0.001,0.0048,0.0001,0.0054
1926-08-27,0.0034999999999999996,0.0015,-0.0042,0.0001,0.0035999999999999995
1926-08-28,0.0034000000000000002,0.0013,-0.0004,0.0001,0.0035
1926-08-30,0.003,0.0001,0.004,0.0001,0.0031
1926-08-31,0.0058,-0.0052,-0.0004,0.0001,0.0059
1926-09-01,0.0055000000000000005,0.0054,-0.0011,8.999999999999999e-05,0.00559
1926-09-02,-0.0006,-0.0015,0.0034000000000000002,8.999999999999999e-05,-0.0005099999999999999
1926-09-03,0.005,-0.0028000000000000004,0.0,8.999999999999999e-05,0.00509
1926-09-07,0.0059,-0.0026,-0.0023,8.999999999999999e-05,0.00599
1926-09-08,-0.0051,-0.0009,0.0005,8.999999999999999e-05,-0.0050100000000000006
1926-09-09,-0.0007000000000000001,0.0019,0.0022,8.999999999999999e-05,-0.0006100000000000001
1926-09-10,-0.0083,0.0008,-0.001,8.999999999999999e-05,-0.00821
1926-09-11,-0.0044,0.0032,0.0013,8.999999999999999e-05,-0.0043100000000000005
1926-09-13,-0.0003,-0.001,0.0048,8.999999999999999e-05,-0.00020999999999999998
1926-09-14,0.009000000000000001,-0.0064,0.0013,8.999999999999999e-05,0.00909
1926-09-15,-0.0021,0.0038,-0.0015,8.999999999999999e-05,-0.00201
1926-09-16,-0.0018,-0.003,0.0005,8.999999999999999e-05,-0.00171
1926-09-17,-0.0101,-0.0021,-0.0021,8.999999999999999e-05,-0.01001
1926-09-18,0.006999999999999999,-0.0025,-0.0017000000000000001,8.999999999999999e-05,0.007089999999999999
1926-09-20,-0.0064,0.0004,-0.0002,8.999999999999999e-05,-0.0063100000000000005
1926-09-21,0.003,-0.0039000000000000003,0.0015,8.999999999999999e-05,0.00309
1926-09-22,-0.0013,0.0001,0.0006,8.999999999999999e-05,-0.00121
1926-09-23,0.0026,-0.0014000000000000002,0.0003,8.999999999999999e-05,0.0026899999999999997
1926-09-24,0.0062,-0.0016,-0.0009,8.999999999999999e-05,0.00629
1926-09-25,0.0021,0.0003,-0.0059,8.999999999999999e-05,0.0021899999999999997
1926-09-27,-0.0012,0.0012,0.0043,8.999999999999999e-05,-0.0011099999999999999
1926-09-28,0.0,-0.0003,-0.0033,8.999999999999999e-05,8.999999999999999e-05
1926-09-29,-0.003,0.0014000000000000002,-0.0006,8.999999999999999e-05,-0.0029100000000000003
1926-09-30,0.003,-0.0022,0.0005,8.999999999999999e-05,0.00309
1926-10-01,0.0073,-0.0026,-0.0023,0.00013,0.00743
1926-10-02,-0.001,-0.0003,-0.0005,0.00013,-0.00087
1926-10-04,-0.013999999999999999,-0.0017000000000000001,0.0001,0.00013,-0.013869999999999999
1926-10-05,-0.011000000000000001,0.0042,-0.0067,0.00013,-0.010870000000000001
1926-10-06,-0.005600000000000001,-0.0074,-0.0022,0.00013,-0.005470000000000001
1926-10-07,-0.0077,0.0036,0.0025,0.00013,-0.00757
1926-10-08,0.0059,-0.0032,0.0051,0.00013,0.00603
1926-10-09,-0.0096,0.0045000000000000005,-0.0007000000000000001,0.00013,-0.00947
1926-10-11,-0.0069,-0.0013,-0.0007000000000000001,0.00013,-0.00677
1926-10-13,0.0069,-0.0034999999999999996,0.0002,0.00013,0.00703
1926-10-14,0.0097,-0.004699999999999999,0.0108,0.00013,0.00983
1926-10-15,-0.0183,0.0007000000000000001,-0.0018,0.00013,-0.01817
1926-10-16,-0.0073,-0.0031,0.0037,0.00013,-0.00717
1926-10-18,0.006999999999999999,-0.0011,0.0039000000000000003,0.00013,0.007129999999999999
1926-10-19,-0.0106,0.0037,-0.005,0.00013,-0.01047
1926-10-20,-0.0025,-0.005699999999999999,-0.012,0.00013,-0.00237
1926-10-21,0.015300000000000001,-0.0011,0.0055000000000000005,0.00013,0.015430000000000001
1926-10-22,-0.004,0.004,0.0027,0.00013,-0.00387
1926-10-23,0.0054,0.0051,0.0019,0.00013,0.00553
1926-10-25,-0.001,0.0036,-0.0005,0.00013,-0.00087
1926-10-26,0.0032,0.0006,0.0023,0.00013,0.00333
1926-10-27,0.01,-0.0040999999999999995,0.001,0.00013,0.01013
1926-10-28,-0.0008,0.0066,0.0025,0.00013,-0.00067
1926-10-29,-0.0006,-0.0002,-0.0028000000000000004,0.00013,-0.00046999999999999993
1926-10-30,-0.0025,0.0021,0.0022,0.00013,-0.00237
1926-11-01,0.0046,-0.0013,-0.004,0.00013,0.00473
1926-11-03,0.002,-0.002,-0.0033,0.00013,0.00213
1926-11-04,0.0059,-0.0012,0.006500000000000001,0.00013,0.00603
1926-11-05,0.0007000000000000001,-0.0011,0.0026,0.00013,0.0008300000000000001
1926-11-06,0.0016,-0.0029,0.0005,0.00013,0.00173
1926-11-08,0.0052,-0.0012,0.0018,0.00013,0.00533
1926-11-09,0.0013,0.0032,-0.0054,0.00013,0.0014299999999999998
1926-11-10,-0.006,0.0014000000000000002,0.0011,0.00013,-0.00587
1926-11-11,0.0067,0.0006,0.0005,0.00013,0.00683
1926-11-12,0.0024,-0.0001,-0.0039000000000000003,0.00013,0.0025299999999999997
1926-11-13,-0.0024,0.0013,-0.0018,0.00013,-0.00227
1926-11-15,0.0037,0.0024,-0.0018,0.00013,0.00383
1926-11-16,0.0015,-0.0029,-0.0009,0.00013,0.00163
1926-11-17,-0.0034999999999999996,-0.0033,0.0043,0.00013,-0.0033699999999999997
1926-11-18,-0.0048,0.0016,0.0022,0.00013,-0.00467
1926-11-19,-0.0064,0.0059,0.0002,0.00013,-0.00627
1926-11-20,0.004,0.0001,0.0011,0.00013,0.00413
1926-11-22,0.005699999999999999,0.0016,-0.002,0.00013,0.005829999999999999
1926-11-23,0.0033,0.0005,0.0014000000000000002,0.00013,0.00343
1926-11-24,0.0008,-0.0025,0.0025,0.00013,0.00093
1926-11-26,0.002,0.0004,-0.0005,0.00013,0.00213
1926-11-27,-0.0015,-0.0003,-0.003,0.00013,-0.0013700000000000001
1926-11-29,-0.0037,-0.0014000000000000002,0.0008,0.00013,-0.0035700000000000003
1926-11-30,0.0026,0.0002,-0.0049,0.00013,0.00273
1926-12-01,0.0036,0.0006,-0.0034999999999999996,0.00010999999999999999,0.0037099999999999998
1926-12-02,0.0051,0.0001,0.0008,0.00010999999999999999,0.00521
1926-12-03,0.0032,0.0002,-0.0004,0.00010999999999999999,0.00331
1926-12-04,-0.0017000000000000001,0.0018,0.0012,0.00010999999999999999,-0.00159
1926-12-06,0.0004,0.003,-0.0034000000000000002,0.00010999999999999999,0.00051
1926-12-07,-0.0004,0.0034000000000000002,-0.005,0.00010999999999999999,-0.00029
1926-12-08,-0.0008,0.0023,0.0023,0.00010999999999999999,-0.0006900000000000001
1926-12-09,0.0045000000000000005,-0.0014000000000000002,0.0044,0.00010999999999999999,0.00461
1926-12-10,0.0034999999999999996,-0.0015,0.0049,0.00010999999999999999,0.0036099999999999995
1926-12-11,0.0009,-0.0013,-0.0045000000000000005,0.00010999999999999999,0.00101
1926-12-13,0.0042,0.0062,0.0002,0.00010999999999999999,0.00431
1926-12-14,0.001,-0.0007000000000000001,0.0012,0.00010999999999999999,0.00111
1926-12-15,0.0017000000000000001,-0.002,0.0019,0.00010999999999999999,0.0018100000000000002
1926-12-16,-0.0063,-0.0019,0.0003,0.00010999999999999999,-0.00619
1926-12-17,0.0091,-0.0073,0.0064,0.00010999999999999999,0.009210000000000001
1926-12-18,0.0042,-0.0023,0.0022,0.00010999999999999999,0.00431
1926-12-20,-0.0031,0.0006,-0.001,0.00010999999999999999,-0.00299
1926-12-21,-0.0003,-0.0039000000000000003,-0.0018,0.00010999999999999999,-0.00018999999999999998
1926-12-22,0.0002,-0.0024,-0.0045000000000000005,0.00010999999999999999,0.00031
1926-12-23,0.0028000000000000004,0.0004,-0.0051,0.00010999999999999999,0.0029100000000000003
1926-12-24,0.0031,0.0021,0.0026,0.00010999999999999999,0.0032099999999999997
1926-12-27,-0.0022,-0.0019,-0.0033,0.00010999999999999999,-0.0020900000000000003
1926-12-28,-0.010700000000000001,-0.0003,-0.0022,0.00010999999999999999,-0.01059
1926-12-29,0.0044,-0.0018,-0.0002,0.00010999999999999999,0.00451
1926-12-30,-0.0034999999999999996,0.0046,0.0007000000000000001,0.00010999999999999999,-0.00339
1926-12-31,0.0033,0.0031,0.006500000000000001,0.00010999999999999999,0.00341
1927-01-03,-0.0079,0.0019,0.0009,0.0001,-0.0078000000000000005
1927-01-04,0.0031,0.0014000000000000002,-0.0066,0.0001,0.0031999999999999997
1927-01-05,0.0014000000000000002,0.0046,-0.0036,0.0001,0.0015000000000000002
1927-01-06,-0.0017000000000000001,-0.0005,0.0015,0.0001,-0.0016
1927-01-07,0.003,-0.0023,0.0040999999999999995,0.0001,0.0031
1927-01-08,0.0039000000000000003,-0.0014000000000000002,0.0021,0.0001,0.004
1927-01-10,0.0014000000000000002,0.0009,0.0005,0.0001,0.0015000000000000002
1927-01-11,-0.0028000000000000004,-0.0033,0.0083,0.0001,-0.0027000000000000006
1927-01-12,0.0007000000000000001,-0.001,0.0009,0.0001,0.0008000000000000001
1927-01-13,-0.0004,0.0018,-0.0028000000000000004,0.0001,-0.00030000000000000003
1927-01-14,0.0005,-0.008100000000000001,0.0085,0.0001,0.0006000000000000001
1927-01-15,0.0013,0.001,0.0084,0.0001,0.0014
1927-01-17,-0.0004,-0.0011,0.006500000000000001,0.0001,-0.00030000000000000003
1927-01-18,-0.0006,-0.0024,0.0004,0.0001,-0.0004999999999999999
1927-01-19,0.0060999999999999995,-0.0004,-0.0072,0.0001,0.0062
1927-01-20,-0.0017000000000000001,-0.0027,0.0007000000000000001,0.0001,-0.0016
1927-01-21,-0.0001,0.0063,0.0125,0.0001,0.0
1927-01-22,-0.0036,0.0024,0.0037,0.0001,-0.0035
1927-01-24,-0.0048,0.0044,0.0149,0.0001,-0.004699999999999999
1927-01-25,-0.010700000000000001,-0.0052,-0.012199999999999999,0.0001,-0.010600000000000002
1927-01-26,0.0019,0.0014000000000000002,0.0045000000000000005,0.0001,0.002
1927-01-27,-0.0034999999999999996,-0.0001,-0.004,0.0001,-0.0034
1927-01-28,0.0016,0.0017000000000000001,0.0074,0.0001,0.0017000000000000001
1927-01-29,0.0073,-0.0038,-0.0033,0.0001,0.0074
1927-01-31,0.0060999999999999995,0.0014000000000000002,-0.0006,0.0001,0.0062
1927-02-01,-0.0001,0.0058,0.0104,0.00012,1.9999999999999998e-05
1927-02-02,0.006999999999999999,-0.0019,0.0007000000000000001,0.00012,0.00712
1927-02-03,0.0017000000000000001,0.0023,-0.0009,0.00012,0.0018200000000000002
1927-02-04,0.0037,0.0018,0.0128,0.00012,0.00382
1927-02-05,-0.0018,0.003,0.004699999999999999,0.00012,-0.0016799999999999999
1927-02-07,-0.0013,0.0062,0.005,0.00012,-0.0011799999999999998
1927-02-08,0.001,0.0028000000000000004,0.0089,0.00012,0.0011200000000000001
1927-02-09,0.0004,-0.0088,-0.005600000000000001,0.00012,0.0005200000000000001
1927-02-10,0.0008,0.0025,-0.006500000000000001,0.00012,0.00092
1927-02-11,0.0031,-0.0054,-0.0046,0.00012,0.0032199999999999998
1927-02-14,0.0049,-0.0006,-0.004,0.00012,0.00502
1927-02-15,0.001,-0.0027,-0.0017000000000000001,0.00012,0.0011200000000000001
1927-02-16,-0.0002,0.0003,0.015,0.00012,-8e-05
1927-02-17,0.0024,0.001,0.008100000000000001,0.00012,0.0025199999999999997
1927-02-18,0.0032,-0.0073,-0.0012,0.00012,0.00332
1927-02-19,0.0001,0.0034999999999999996,-0.0042,0.00012,0.00022
1927-02-21,-0.0017000000000000001,0.0017000000000000001,-0.0086,0.00012,-0.00158
1927-02-23,0.0072,-0.0034000000000000002,-0.0012,0.00012,0.00732
1927-02-24,0.0014000000000000002,0.0031,0.0015,0.00012,0.0015200000000000003
1927-02-25,0.0021,0.0026,-0.0037,0.00012,0.0022199999999999998
